Borough,Latitude,Longitude
QUEENS,40.76491586,-73.81215522
QUEENS,40.74219853,-73.95327408
QUEENS,40.74993419,-73.89909161
QUEENS,40.75869189,-73.91148825
BROOKLYN,40.68743679,-73.97721512
QUEENS,40.70432554,-73.91023678
MANHATTAN,40.73744411,-73.97987912
BROOKLYN,40.71360468,-73.96372612
BROOKLYN,40.67457993,-73.95006607
BRONX,40.81824951,-73.91102969
Unspecified,40.72908205,-73.98878265
BRONX,40.83574819,-73.90223556
MANHATTAN,40.72726727,-73.98449673
BROOKLYN,40.68645097,-73.91669706
QUEENS,40.74908716,-73.87005397
BROOKLYN,40.69221697,-73.98707598
STATEN ISLAND,40.57592733,-74.16979324
MANHATTAN,40.7093173,-74.00810844
BROOKLYN,40.63702816,-74.00795193
BROOKLYN,40.64975781,-73.89841786
BROOKLYN,40.63779444,-73.89664173
BRONX,40.82951711,-73.82512229
STATEN ISLAND,40.56585655,-74.11438293
BROOKLYN,40.6054648,-73.9828612
MANHATTAN,40.73078426,-73.99548624
QUEENS,40.72807667,-73.81271367
MANHATTAN,40.75447674,-73.99181388
BROOKLYN,40.69064191,-73.99189744
MANHATTAN,40.7578466,-73.9850094
QUEENS,40.70998183,-73.81022157
MANHATTAN,40.72896457,-74.00137466
MANHATTAN,40.71409345,-73.99763367
QUEENS,40.69259125,-73.85803691
QUEENS,40.74150106,-73.88056287
MANHATTAN,40.73578985,-73.98536077
QUEENS,40.58956377,-73.79967589
MANHATTAN,40.74486977,-73.98776589
MANHATTAN,40.76064385,-73.98801568
MANHATTAN,40.78325089,-73.9785545
BROOKLYN,40.67595415,-73.97155535
MANHATTAN,40.7690238,-73.96323744
MANHATTAN,40.78559176,-73.97653515
MANHATTAN,40.75632968,-73.9745855
BROOKLYN,40.61295253,-73.98238745
MANHATTAN,40.74264583,-73.98245421
QUEENS,40.70995379,-73.85956176
BROOKLYN,40.62262301,-74.02843273
MANHATTAN,40.74249489,-73.98255529
MANHATTAN,40.82688979,-73.9464071
QUEENS,40.74595599,-73.95303326
BROOKLYN,40.62203047,-74.02707443
BROOKLYN,40.638219,-73.94823407
BROOKLYN,40.6937071,-73.98478581
BROOKLYN,40.70280361,-73.94246745
MANHATTAN,40.72916482,-74.00524968
BROOKLYN,40.7002805,-73.94114966
QUEENS,40.75393491,-73.90096242
MANHATTAN,40.77779295,-73.95472226
BROOKLYN,40.64975781,-73.89841786
BROOKLYN,40.6698223,-73.88136172
MANHATTAN,40.80081218,-73.95988608
QUEENS,40.75910604,-73.83413999
BROOKLYN,40.6024274,-73.99332701
BRONX,40.8384416,-73.83540947
QUEENS,40.64832049,-73.78828125
QUEENS,40.74886192,-73.93960536
MANHATTAN,40.7058919,-74.00718108
BROOKLYN,40.65443012,-74.00756477
BRONX,40.85441352,-73.88855493
BROOKLYN,40.62461548,-73.96129604
MANHATTAN,40.80376918,-73.94841958
BRONX,40.83573096,-73.92296441
BROOKLYN,40.68744948,-73.97246992
QUEENS,40.74908716,-73.87005397
QUEENS,40.74879342,-73.75656272
BROOKLYN,40.70755816,-73.93343538
MANHATTAN,40.72350004,-73.97618542
QUEENS,40.69803373,-73.80200785
MANHATTAN,40.76369638,-73.99249502
BRONX,40.8695009,-73.82618138
MANHATTAN,40.73017501,-74.00032834
MANHATTAN,40.76838707,-73.95558787
MANHATTAN,40.75691659,-73.98901619
MANHATTAN,40.74418669,-73.99186927
MANHATTAN,40.71006941,-74.00742681
QUEENS,40.72573536,-73.8213358
QUEENS,40.66429802,-73.7683984
BRONX,40.87502755,-73.89285951
MANHATTAN,40.76401852,-73.97857874
BRONX,40.87502755,-73.89285951
BRONX,40.87502755,-73.89285951
BROOKLYN,40.68443686,-73.97772454
QUEENS,40.66429802,-73.7683984
BROOKLYN,40.57663047,-73.98146828
BROOKLYN,40.68443686,-73.97772454
MANHATTAN,40.7781982,-73.98063227
MANHATTAN,40.75915093,-73.99032974
MANHATTAN,40.71859485,-73.99765515
QUEENS,40.76198374,-73.82932455
QUEENS,40.74939395,-73.88774171
MANHATTAN,40.77831866,-73.97884495
MANHATTAN,,
STATEN ISLAND,40.62460267,-74.07959815
QUEENS,40.76152199,-73.82706239
MANHATTAN,40.832498,-73.94229388
BROOKLYN,40.63288564,-73.94769779
BROOKLYN,40.66772449,-73.98086982
BROOKLYN,40.57698182,-73.98156538
QUEENS,40.76716974,-73.92195708
MANHATTAN,40.73584552,-74.00596106
MANHATTAN,40.80487708,-73.94069236
MANHATTAN,40.75794735,-73.97970328
QUEENS,40.73535168,-73.78374683
MANHATTAN,40.73431385,-73.9924442
